Y | first: 0 | last: 0 | a
Y | first: 2 | last: 2 | aabaa
Y | first: 2 | last: 2 | bbabb
Y | first: 2 | last: 2 | ccdcc
Y | first: 2 | last: 2 | ddedd
Y | first: 2 | last: 3 | eeffee
Y | first: 2 | last: 2 | ffgff
Y | first: 25 | last: 26 | abcdefghijklmnopqrstuvwxyzzyxwvutsrqponmlkjihgfedcba
Y | first: 9 | last: 10 | 12345678900987654321
Y | first: 8 | last: 9 | abcdedcbaabcdedcba
Y | first: 9 | last: 9 | a1b2c3d4e5e4d3c2b1a
Y | first: 9 | last: 10 | qwertyuioppoiuytrewq
X | first: 13 | last: 16 | zyxwvutsrqponmlmlnopqrstuvwxyz
Y | first: 15 | last: 15 | mnbvcxzlkjhgfdsasdfghjklzxcvbnm
Y | first: 15 | last: 15 | 0123456789abcdefedcba9876543210
X | first: 7 | last: 23 | racecarenterelephanterecracecar
X | first: 4 | last: 16 | abcddcbaefggfeabcdcba
Y | first: 14 | last: 15 | aaaaaaaaaabbbbbbbbbbaaaaaaaaaa
Y | first: 8 | last: 9 | abc123xyzzyx321cba
Y | first: 5 | last: 5 | x1y2z3z2y1x
Y | first: 9 | last: 10 | helloollehhelloolleh
Y | first: 9 | last: 10 | palindromeemordnilap
Y | first: 12 | last: 13 | abcdefgfedcbaabcdefgfedcba
Y | first: 10 | last: 10 | 999888777666777888999
Y | first: 9 | last: 9 | a1a2a3a4a5a4a3a2a1a
Y | first: 3 | last: 4 | zzxyyxzz
Y | first: 9 | last: 10 | qqqwwweeerreeewwwqqq
Y | first: 7 | last: 7 | abcbaabcbaabcba
Y | first: 9 | last: 9 | 1357913579753197531
Y | first: 9 | last: 10 | longstringgnirtsgnol
Y | first: 9 | last: 10 | abcdcba123321abcdcba
Y | first: 6 | last: 7 | fghijkllkjihgf
X | first: 0 | last: 17 | a0b1c2d3e4d3c2b1a0
Y | first: 6 | last: 7 | abababccbababa
Y | first: 4 | last: 5 | 0123443210
Y | first: 16 | last: 16 | stackedpalindromemordnilapdekcats
X | first: 4 | last: 12 | rrrssttuuuuttsrrr
Y | first: 10 | last: 11 | abcdefedcbaabcdefedcba
Y | first: 8 | last: 8 | 1a2b3c4d5d4c3b2a1
Y | first: 6 | last: 7 | xyzabcddcbazyx
Y | first: 10 | last: 10 | pppqqqrrrsssrrrqqqppp
Y | first: 7 | last: 8 | abcd12344321dcba
Y | first: 9 | last: 10 | helloworlddlrowolleh
Y | first: 12 | last: 13 | aaaaaaaaaaaaaaaaaaaaaaaaaa
Y | first: 8 | last: 8 | 2468abcdedcba8642
Y | first: 11 | last: 12 | mirrorstringgnirtsrorrim
Y | first: 5 | last: 6 | abcxyzzyxcba
Y | first: 6 | last: 7 | 123abcddcba321
Y | first: 17 | last: 17 | longlongpalindromemordnilapgnolgnol
Y | first: 7 | last: 7 | z9y8x7w6w7x8y9z
Y | first: 7 | last: 8 | abcdefghhgfedcba
Y | first: 9 | last: 9 | 0102030405040302010
Y | first: 10 | last: 11 | nestedlevelleveldetsen
Y | first: 8 | last: 8 | a1b1c1d1e1d1c1b1a
X | first: 7 | last: 24 | symmetricalstringgnirtslartemmys
Y | first: 7 | last: 8 | abcddcbaabcddcba
Y | first: 14 | last: 14 | finalpalindromemordnilaplanif
